PERSON_AGE,VEHICLE_ID,COLLISION_ID,CRASH_DATE,CRASH_TIME,BODILY_INJURY,SAFETY_EQUIPMENT,PERSON_SEX,PERSON_TYPE,PED_LOCATION,CONTRIBUTING_FACTOR_2,EJECTION,COMPLAINT,EMOTIONAL_STATUS,PERSON_ID,CONTRIBUTING_FACTOR_1,POSITION_IN_VEHICLE,PED_ROLE,PED_ACTION,PERSON_INJURY
0.0,0.0,4384771.0,16/01/2021,01:00,Unknown,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Unknown,Apparent Death,a394b263-4049-4349-bbdd-5c00ad7c8d80,Unspecified,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
60.0,0.0,4385848.0,20/01/2021,19:00,Chest,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,2b94e71e-fc46-4648-ab4a-61ef283edbc8,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
23.0,19834145.0,4385852.0,22/01/2021,00:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,M,Occupant,,,Not Ejected,Internal,Apparent Death,f1fcf1d9-2396-4418-b488-97a0087f6382,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
84.0,0.0,4387714.0,29/01/2021,05:00,Knee-Lower Leg Foot,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,None Visible,Apparent Death,48e3877b-9447-47de-95b9-64c125850aa2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing Against Signal,Killed
52.0,0.0,4387617.0,29/01/2021,07:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Unconscious,2280f384-b203-41a4-9217-ab11704d31e0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, Marked Crosswalk",Killed
51.0,0.0,4388187.0,29/01/2021,20:00,Chest,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,23f4f4ab-c4fd-4502-bfd8-80f3d2a220eb,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Other Actions in Roadway,Killed
42.0,19838498.0,4387784.0,30/01/2021,10:00,Entire Body,None,M,Occupant,,,Trapped,Internal,Apparent Death,f4993fff-a0b0-446a-8f69-e72258c993a9,,Driver,Driver,,Killed
64.0,0.0,4389661.0,06/02/2021,13:00,Knee-Lower Leg Foot,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Conscious,bf594f76-2614-4454-8685-961b7bf9a7be,Unspecified,,Pedestrian,Crossing With Signal,Killed
21.0,20077861.0,4391598.0,13/02/2021,23:00,Head,None,M,Occupant,,,Not Ejected,Internal,Apparent Death,0b7f79ca-0367-462f-b339-5c834950c6ab,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
54.0,0.0,4392150.0,15/02/2021,13:00,Head,,F,Pedestrian,Does Not Apply,Unspecified,,Severe Bleeding,Apparent Death,09c07fd0-e2c8-486d-82ae-b0fc7551d383,Unspecified,,Pedestrian,Not in Roadway,Killed
72.0,0.0,4392149.0,15/02/2021,20:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Unconscious,2c9ca8bf-e04e-4102-9ec4-534ad18d37f4,Unspecified,,Pedestrian,Crossing With Signal,Killed
68.0,19858243.0,4392412.0,16/02/2021,18:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,F,Occupant,,,Not Ejected,Crush Injuries,Apparent Death,07f33ef7-6ab6-4169-b929-76dd86096d5e,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
70.0,19858243.0,4392412.0,16/02/2021,18:00,Entire Body,Air Bag Deployed/Lap Belt/Harness,M,Occupant,,,Not Ejected,Internal,Unconscious,6e17f8f7-47f6-455f-aeed-1cc07eb56d1a,,Driver,Driver,,Killed
45.0,0.0,4393789.0,17/02/2021,23:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Unconscious,09d87ecc-a74f-44d4-84f0-b2f073273bd1,Unspecified,,Pedestrian,Crossing Against Signal,Killed
73.0,0.0,4393349.0,18/02/2021,20:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,None Visible,Apparent Death,7ea2df9f-755b-4073-beb2-9dd824929cdd,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Riding/Walking Along Highway Against Traffic,Killed
84.0,0.0,4394172.0,22/02/2021,12:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Minor Bleeding,Shock,76770b0f-ea46-4e60-a6a0-7a9d256f8430,Unspecified,,Pedestrian,Crossing With Signal,Killed
6.0,0.0,4394263.0,24/02/2021,08:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,1a6db4d4-3cf4-4acf-85fc-fb1900961a05,Unspecified,,Pedestrian,Emerging from in Front of/Behind Parked Vehicle,Killed
31.0,0.0,4394349.0,24/02/2021,18:00,Chest,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Severe Lacerations,Conscious,820f836c-ebaf-4805-a129-801ceceb1d55,Unspecified,,Pedestrian,Unknown,Killed
32.0,0.0,4395193.0,26/02/2021,12:00,Entire Body,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Crush Injuries,Apparent Death,6d091b48-602f-4d09-90df-085384915057,Unspecified,,Pedestrian,"Crossing, No Signal, Marked Crosswalk",Killed
75.0,0.0,4395993.0,03/03/2021,13:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Internal,Apparent Death,904ed79f-6f24-43f7-917c-48ba04550c83,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
92.0,19981265.0,4396621.0,04/03/2021,11:00,Chest,Air Bag Deployed/Lap Belt/Harness,M,Occupant,,,Not Ejected,Internal,Conscious,4268c07b-dd5e-4b5e-9426-5eeb96d9987f,,Driver,Driver,,Killed
24.0,0.0,4396617.0,04/03/2021,22:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,21b60a39-c257-4064-b11f-3a052289f114,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
92.0,0.0,4396615.0,04/03/2021,23:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,380ead95-7cde-4f55-98d6-83c4f9e132f4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing With Signal,Killed
31.0,19858524.0,4396626.0,05/03/2021,06:00,Head,None,F,Occupant,,,Not Ejected,Internal,Apparent Death,6def2099-de24-4809-96fa-d9dce0762cea,,Driver,Driver,,Killed
61.0,0.0,4397262.0,05/03/2021,14:00,Entire Body,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,cd78c72a-7d49-424e-bef4-43b55c10304e,Unspecified,,Pedestrian,"Crossing, No Signal, Marked Crosswalk",Killed
58.0,19947565.0,4397845.0,09/03/2021,09:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Crush Injuries,Apparent Death,10cc2403-cf92-4457-a995-51dd77e2a7f9,,Driver,Driver,,Killed
42.0,19949654.0,4397849.0,10/03/2021,14:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Crush Injuries,Unconscious,4511c50d-742c-4fa9-85b6-159132e1b693,,Riding/Hanging on Outside,Driver,,Killed
30.0,19860823.0,4397902.0,10/03/2021,23:00,Head,Air Bag Deployed/Lap Belt/Harness,F,Occupant,,,Not Ejected,Severe Lacerations,Apparent Death,ceb888ab-ea67-4a1b-8465-41c1d02b5754,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
55.0,0.0,4399201.0,12/03/2021,13:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Unconscious,7f73c890-2d42-4776-ab36-f5d9dc6a9afc,Unspecified,,Pedestrian,Crossing With Signal,Killed
38.0,0.0,4399035.0,12/03/2021,22:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Severe Bleeding,Unconscious,23e53af3-441e-419e-b446-65b395d8452a,Other Vehicular,,Pedestrian,Unknown,Killed
65.0,0.0,4399202.0,13/03/2021,04:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,d07e0d58-38e3-43b1-828e-7a02569391cf,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Other Actions in Roadway,Killed
52.0,19952714.0,4399845.0,18/03/2021,06:00,Does Not Apply,Lap Belt,M,Occupant,,,Not Ejected,Does Not Apply,Does Not Apply,9e88ce6e-576d-4306-b4f3-ff558257543f,,Driver,Driver,,Killed
61.0,0.0,4401009.0,22/03/2021,22:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Traffic Control Disregarded,,Internal,Unconscious,64f0b80d-3b9f-4a09-9f6e-0c26fd91ad2a,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing Against Signal,Killed
69.0,19958763.0,4401549.0,24/03/2021,12:00,Chest,Lap Belt & Harness,M,Occupant,,,Not Ejected,Complaint of Pain or Nausea,Unconscious,edad5982-23da-4789-a0dc-95ae5f075e83,,Driver,Driver,,Killed
0.0,0.0,4403290.0,27/03/2021,21:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,08c57775-e4fc-4c34-b631-0bd276e93109,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Not in Roadway,Killed
69.0,20021237.0,4403297.0,28/03/2021,17:00,Chest,Lap Belt & Harness,M,Occupant,,,Not Ejected,Internal,Apparent Death,a20cad96-5967-4746-8507-cb3d81890bd9,,Driver,Driver,,Killed
64.0,0.0,4404422.0,30/03/2021,13:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Semiconscious,86183f28-a233-473b-8851-9ccd178ca864,Unspecified,,Pedestrian,Crossing With Signal,Killed
23.0,0.0,4404420.0,01/04/2021,06:00,Chest,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Severe Lacerations,Apparent Death,6fd3756a-b79d-40d4-a9ad-8dae4a5e0f70,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing Against Signal,Killed
73.0,0.0,4404421.0,03/04/2021,14:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Severe Bleeding,Unconscious,c67bd95c-554e-4f60-a18a-6dcbcce5103e,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Working in Roadway,Killed
95.0,19960804.0,4404594.0,04/04/2021,15:00,Chest,Unknown,F,Occupant,,,Not Ejected,Internal,Apparent Death,2610062b-0dd8-49ca-9a77-dd159bfb9b4a,,"Middle rear seat, or passenger lying across a seat",Passenger,,Killed
97.0,0.0,4405393.0,07/04/2021,15:00,Chest,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Semiconscious,4d64ac3d-1173-4a17-b752-70b85fa1a13a,Unspecified,,Pedestrian,Not in Roadway,Killed
59.0,0.0,4406375.0,08/04/2021,19:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Unknown,Unconscious,9cbeae8b-3c19-4d88-a1cc-52c6782d2595,Unspecified,,Pedestrian,Not in Roadway,Killed
64.0,19952403.0,4407509.0,08/04/2021,19:00,Chest,None,M,Other Motorized,,,Not Ejected,Internal,Apparent Death,b7908b48-6da3-49bc-ab55-5d438da6773d,,Driver,Driver,,Killed
43.0,0.0,4407069.0,08/04/2021,23:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Unconscious,5d4760cc-99d2-45af-b673-15777906fe18,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Other Actions in Roadway,Killed
53.0,19962618.0,4407073.0,09/04/2021,19:00,Unknown,Unknown,M,Occupant,,,Not Ejected,Internal,Unconscious,d8f9e907-1526-4acd-be1c-baaae457557c,,Driver,Driver,,Killed
52.0,0.0,4406821.0,10/04/2021,07:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Severe Bleeding,Conscious,7fcacc94-e051-4442-b8e8-f8bb7747b52b,Unspecified,,Pedestrian,Working in Roadway,Killed
57.0,19953875.0,4407071.0,13/04/2021,13:00,Unknown,Unknown,M,Occupant,,,Not Ejected,Unknown,Unconscious,374aeb52-01e8-4219-8bae-1d66ec1ed987,,Driver,Driver,,Killed
72.0,0.0,4408063.0,15/04/2021,15:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,23693987-fd07-44df-bf7b-40903907525d,Unspecified,,Pedestrian,Unknown,Killed
18.0,19947157.0,4407693.0,15/04/2021,22:00,Head,None,F,Occupant,,,Partially Ejected,Crush Injuries,Apparent Death,cfc36ebf-f93e-45e0-8ed2-cc60529f54f2,,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Passenger,,Killed
71.0,0.0,4408062.0,17/04/2021,13:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Unconscious,b950706b-00a4-485c-84c5-777208cc3cc9,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
45.0,19982194.0,4408694.0,18/04/2021,18:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Severe Bleeding,Unconscious,bc7f7a39-714b-46e5-a337-c5c1fa6ded9f,,Driver,Driver,,Killed
33.0,0.0,4408695.0,18/04/2021,23:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Severe Bleeding,Apparent Death,95e85add-2aaf-4f1b-8c95-21d48f5ccb9d,Unspecified,,Pedestrian,Other Actions in Roadway,Killed
81.0,0.0,4410382.0,19/04/2021,08:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Minor Bleeding,Unconscious,055d37ac-b657-4527-9883-5212b98f34cd,Unspecified,,Pedestrian,Crossing With Signal,Killed
39.0,0.0,4408961.0,19/04/2021,19:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,44a18fc5-d023-412a-850f-2b4e6df8f37d,Unspecified,,Pedestrian,Not in Roadway,Killed
23.0,19962360.0,4409176.0,21/04/2021,00:00,Chest,Air Bag Deployed/Lap Belt/Harness,M,Occupant,,,Not Ejected,Internal,Apparent Death,1dbced1b-8612-4c78-8e96-a39fd5a3f0ad,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
57.0,0.0,4410387.0,22/04/2021,08:00,Chest,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Crush Injuries,Apparent Death,cfaa4a51-d765-4e50-8f89-95a52f7f7ae3,Unspecified,,Pedestrian,Crossing With Signal,Killed
22.0,20094167.0,4410389.0,23/04/2021,17:00,Head,None,M,Occupant,,,Ejected,Crush Injuries,Apparent Death,a0c337ac-bcc8-4f5f-903b-7754da4db286,,Riding/Hanging on Outside,Driver,,Killed
24.0,19991149.0,4410388.0,24/04/2021,03:00,Head,None,M,Other Motorized,,,Ejected,Internal,Apparent Death,cc66e7ab-34a9-4ec2-8c7f-5420ef414a51,,Driver,Driver,,Killed
77.0,0.0,4410392.0,24/04/2021,20:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,0d808337-5a75-4cfb-bfbd-5f41676637bf,Unspecified,,Pedestrian,Crossing With Signal,Killed
23.0,0.0,4410383.0,25/04/2021,01:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Crush Injuries,Apparent Death,abb570a5-a29c-4aff-b83e-4849ef570b08,Unspecified,,Pedestrian,Other Actions in Roadway,Killed
35.0,19969497.0,4411521.0,26/04/2021,18:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Severe Bleeding,Apparent Death,f8d4445b-32c5-4538-9798-05614362536d,,Driver,Driver,,Killed
26.0,19978486.0,4411518.0,27/04/2021,00:00,Head,Unknown,M,Occupant,,,Not Ejected,Internal,Apparent Death,464c774a-a784-4384-b2d6-f38a74af07ed,,"Middle rear seat, or passenger lying across a seat",Passenger,,Killed
43.0,0.0,4411011.0,27/04/2021,01:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,88183eaf-a9de-49c3-ac19-a301bc2be33b,Unspecified,,Pedestrian,Other Actions in Roadway,Killed
37.0,19986848.0,4412249.0,29/04/2021,19:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Internal,Apparent Death,50e1d462-dbe1-45b6-83ed-d479bf5f5ae1,,Driver,Driver,,Killed
33.0,19992731.0,4413106.0,01/05/2021,19:00,Head,None,M,Occupant,,,Ejected,Concussion,Unconscious,9783283d-3bd0-421b-89d4-514378d6b65f,,Driver,Driver,,Killed
62.0,0.0,4412948.0,02/05/2021,21:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Severe Bleeding,Apparent Death,f2f329b6-2dfc-4bd0-b751-2e4255f1ea06,Traffic Control Disregarded,,Pedestrian,Crossing Against Signal,Killed
21.0,19993860.0,4413273.0,03/05/2021,23:00,Head,Lap Belt & Harness,M,Occupant,,,Not Ejected,Internal,Unconscious,64974d87-d02f-42b1-a60b-58248a3e38de,,Driver,Driver,,Killed
43.0,19949679.0,4415906.0,06/05/2021,14:00,Head,Helmet (Motorcycle Only),M,Other Motorized,,,Ejected,Internal,Unconscious,860932a4-9f59-468f-9422-bbc9817164a5,,Driver,Driver,,Killed
61.0,20012863.0,4415909.0,09/05/2021,06:00,Head,Lap Belt & Harness,M,Occupant,,,Not Ejected,Crush Injuries,Apparent Death,6d127c58-0767-450b-b1ad-946ac5e1e14c,,Driver,Driver,,Killed
32.0,19996639.0,4415647.0,11/05/2021,02:00,Entire Body,Helmet (Motorcycle Only),M,Occupant,,,Ejected,Internal,Apparent Death,f9bce15d-05e6-40ff-adfe-b9c3758ff2ca,,Driver,Driver,,Killed
29.0,0.0,4415911.0,11/05/2021,22:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Severe Bleeding,Apparent Death,48f4cbfa-ef58-4c78-ba95-830ddf85681a,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Other Actions in Roadway,Killed
50.0,0.0,4417575.0,13/05/2021,10:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Severe Bleeding,Apparent Death,f83a34cc-eb40-471b-8080-119a20e8e3d4,Unspecified,,Pedestrian,Crossing With Signal,Killed
20.0,0.0,4417309.0,14/05/2021,23:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,7ad5617f-d372-4c86-a169-fd83f21d1dab,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
29.0,19984659.0,4417621.0,17/05/2021,19:00,Head,None,M,Occupant,,,Ejected,Internal,Unconscious,d1732667-7a2d-4a0e-bd03-58ba46475535,,Driver,Driver,,Killed
58.0,0.0,4417604.0,18/05/2021,00:00,Entire Body,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,1e471c1e-4d0e-4782-a7e4-60c65d67112f,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing Against Signal,Killed
74.0,0.0,4418336.0,19/05/2021,23:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,6e3a4334-009d-46ad-9c41-5c5f2eaa3041,Unspecified,,Pedestrian,"Crossing, No Signal, or Crosswalk",Killed
73.0,0.0,4418820.0,20/05/2021,22:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Unspecified,,Internal,Apparent Death,b4ffdcf6-bda1-486d-a15e-e6910f256064,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Riding/Walking Along Highway With Traffic,Killed
24.0,19986231.0,4419608.0,21/05/2021,00:00,Entire Body,Air Bag Deployed,M,Occupant,,,Trapped,Internal,Apparent Death,e27e12a2-0485-4e22-b692-3f8a765d2582,,Driver,Driver,,Killed
22.0,19986231.0,4419608.0,21/05/2021,00:00,Head,Air Bag Deployed,F,Occupant,,,Trapped,Internal,Apparent Death,b8f8a3f6-c261-41cd-be7a-8074f0b1ffb3,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
46.0,19983001.0,4419912.0,21/05/2021,19:00,Head,Helmet (Motorcycle Only),M,Occupant,,,Partially Ejected,Internal,Unconscious,a05688f9-f713-4e97-9a77-5c9a5ce03881,,Driver,Driver,,Killed
52.0,0.0,4419564.0,21/05/2021,22:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,1d6af835-9d88-4320-916e-8e1e9396b2de,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,Pedestrian,Crossing Against Signal,Killed
25.0,20047642.0,4419561.0,22/05/2021,04:00,Entire Body,Unknown,M,Occupant,,,Not Ejected,Crush Injuries,Unconscious,3a487059-3e6e-41ac-b7c0-8d796da59eff,,"Middle rear seat, or passenger lying across a seat",Passenger,,Killed
30.0,20047642.0,4419561.0,22/05/2021,04:00,Entire Body,Unknown,M,Occupant,,,Not Ejected,Crush Injuries,Unconscious,44829bee-b243-40ff-bfff-893d7ca45230,,Driver,Driver,,Killed
28.0,20047642.0,4419561.0,22/05/2021,04:00,Entire Body,Unknown,M,Occupant,,,Not Ejected,Crush Injuries,Unconscious,848877ad-65ab-4c24-a52e-41fea16ffd4c,,"Front passenger, if two or more persons, including the driver, are in the front seat",Passenger,,Killed
82.0,0.0,4419568.0,23/05/2021,15:00,Head,,F,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Unconscious,4e23c078-ae54-495a-aebf-f7c366f2849a,Unspecified,,Pedestrian,Unknown,Killed
46.0,0.0,4420041.0,24/05/2021,00:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,99bdbfde-035d-4fa1-9890-11d5efa6b9e7,Traffic Control Disregarded,,Pedestrian,Crossing Against Signal,Killed
46.0,0.0,4420041.0,24/05/2021,00:00,Head,,M,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unspecified,,Internal,Apparent Death,5cb9a784-b068-453a-b0e2-ecf035c3fc36,Traffic Control Disregarded,,Pedestrian,Crossing Against Signal,Killed
58.0,19912917.0,4420981.0,24/05/2021,06:00,Head,Helmet Only (In-Line Skater/Bicyclist),M,Bicyclist,,,Not Ejected,Crush Injuries,Apparent Death,10b61a35-e340-4bd1-b7a6-734c60ac2a89,,Driver,Driver,,Killed
